Dataset,Prediction Length,MSE,MAE,model,source,model_source
Exchange,336,0.353,0.473,TimeMixer,wang2025_timemixer,TimeMixer (wang2025_timemixer)
Exchange,720,0.934,0.761,TimeMixer,wang2025_timemixer,TimeMixer (wang2025_timemixer)
Exchange,Avg,0.391,0.453,TimeMixer,wang2025_timemixer,TimeMixer (wang2025_timemixer)
ILI,24,,,TimeMixer,wang2025_timemixer,TimeMixer (wang2025_timemixer)
ILI,36,,,TimeMixer,wang2025_timemixer,TimeMixer (wang2025_timemixer)
ILI,48,,,TimeMixer,wang2025_timemixer,TimeMixer (wang2025_timemixer)
ILI,60,,,TimeMixer,wang2025_timemixer,TimeMixer (wang2025_timemixer)
ILI,Avg,,,TimeMixer,wang2025_timemixer,TimeMixer (wang2025_timemixer)
Solar-Energy,96,0.189,0.259,TimeMixer,wang2025_timemixer,TimeMixer (wang2025_timemixer)
Solar-Energy,192,0.222,0.283,TimeMixer,wang2025_timemixer,TimeMixer (wang2025_timemixer)
Solar-Energy,336,0.231,0.292,TimeMixer,wang2025_timemixer,TimeMixer (wang2025_timemixer)
Solar-Energy,720,0.223,0.285,TimeMixer,wang2025_timemixer,TimeMixer (wang2025_timemixer)
Solar-Energy,Avg,0.216,0.28,TimeMixer,wang2025_timemixer,TimeMixer (wang2025_timemixer)
ETTm1,96,0.334,0.368,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTm1,192,0.39,0.393,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTm1,336,0.426,0.42,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTm1,720,0.491,0.459,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTm1,Avg,0.407,0.41,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTm2,96,0.18,0.264,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTm2,192,0.25,0.309,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTm2,336,0.311,0.348,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTm2,720,0.412,0.407,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTm2,Avg,0.288,0.332,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTh1,96,0.386,0.405,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTh1,192,0.441,0.512,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTh1,336,0.487,0.458,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTh1,720,0.503,0.491,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTh1,Avg,0.454,0.447,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTh2,96,0.297,0.349,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTh2,192,0.38,0.4,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTh2,336,0.428,0.432,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTh2,720,0.427,0.445,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTh2,Avg,0.383,0.407,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Electricity,96,0.148,0.24,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Electricity,192,0.162,0.253,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Electricity,336,0.178,0.269,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Electricity,720,0.225,0.317,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Electricity,Avg,0.178,0.27,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Weather,96,0.174,0.214,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Weather,192,0.221,0.254,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Weather,336,0.278,0.296,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Weather,720,0.358,0.347,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Weather,Avg,0.258,0.278,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Traffic,96,0.395,0.268,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Traffic,192,0.417,0.276,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Traffic,336,0.433,0.283,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Traffic,720,0.467,0.302,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Traffic,Avg,0.428,0.282,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Exchange,96,0.086,0.206,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Exchange,192,0.177,0.299,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Exchange,336,0.331,0.417,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Exchange,720,0.847,0.691,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Exchange,Avg,0.36,0.403,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ILI,24,,,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ILI,36,,,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ILI,48,,,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ILI,60,,,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ILI,Avg,,,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Solar-Energy,96,0.203,0.237,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Solar-Energy,192,0.233,0.261,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Solar-Energy,336,0.248,0.273,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Solar-Energy,720,0.249,0.275,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
Solar-Energy,Avg,0.233,0.262,iTransformer,wang2025_timemixer,iTransformer (wang2025_timemixer)
ETTm1,96,0.352,0.374,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTm1,192,0.374,0.387,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTm1,336,0.421,0.414,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTm1,720,0.462,0.449,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTm1,Avg,0.406,0.407,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTm2,96,0.183,0.27,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTm2,192,0.255,0.314,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTm2,336,0.309,0.347,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTm2,720,0.412,0.404,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTm2,Avg,0.29,0.334,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTh1,96,0.46,0.447,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTh1,192,0.477,0.429,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTh1,336,0.546,0.496,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTh1,720,0.544,0.517,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTh1,Avg,0.516,0.484,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTh2,96,0.308,0.355,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTh2,192,0.393,0.405,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTh2,336,0.427,0.436,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTh2,720,0.436,0.45,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTh2,Avg,0.391,0.411,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Electricity,96,0.19,0.296,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Electricity,192,0.199,0.304,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Electricity,336,0.217,0.319,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Electricity,720,0.258,0.352,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Electricity,Avg,0.216,0.318,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Weather,96,0.186,0.227,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Weather,192,0.234,0.265,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Weather,336,0.284,0.301,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Weather,720,0.356,0.349,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Weather,Avg,0.265,0.285,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Traffic,96,0.526,0.347,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Traffic,192,0.522,0.332,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
